table,name,key,title,description,comments,example,type,format,unique,required,minimum,maximum,namespace,dcterms:isVersionOf,dcterms:references,rdfs:comment,status,new,ignore
agent-media,subjectCategorySource,,Subject Category Source,A reference to a controlled vocabulary in which the definition of a value in dwc:subjectCategory is given.,"The Audiovisual Core recommended vocabularies do not need to be cited here. There is no required linkage between individual Subject Category terms and the vocabulary; the mechanism is intended to support discovery of the normative URI for a term, but not guarantee it.",,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectCategorySource,http://rs.tdwg.org/ac/terms/version/subjectCategorySource-2020-01-27,Any vocabulary or formal classification from which terms in the Subject Category have been drawn.,recommended,false,true
agent-media,subjectPartLiteral,,Subject Part Literal,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the dwc:Media resource, denoted by a controlled value string.",Values SHOULD be selected from the Controlled Vocabulary for ac:subjectPart. It is best practice to use ac:subjectPart instead of ac:subjectPartLiteral whenever practical.,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectPartLiteral,http://rs.tdwg.org/ac/terms/version/subjectPartLiteral-2023-09-05,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the media resource, denoted by a controlled value string.",recommended,false,true
agent-media,subjectPart,,Subject Part,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the dwc:Media resource, denoted by an IRI.",,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectPart,http://rs.tdwg.org/ac/terms/version/subjectPart-2023-09-05,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the media resource, denoted by an IRI.",recommended,false,true
agent-media,subjectOrientationLiteral,,Subject Orientation Literal,"Specific orientation (= direction, view angle) of the subject represented in the dwc:Media resource with respect to the acquisition device, denoted by a controlled value string.",Values SHOULD be selected from the Controlled Vocabulary for ac:subjectOrientation. It is best practice to use ac:subjectOrientation instead of ac:subjectOrientationLiteral whenever practical.,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectOrientationLiteral,http://rs.tdwg.org/ac/terms/version/subjectOrientationLiteral-2023-09-05,"Specific orientation (= direction, view angle) of the subject represented in the media resource with respect to the acquisition device, denoted by a controlled value string.",recommended,false,true
agent-media,subjectOrientation,,Subject Orientation,"Specific orientation (= direction, view angle) of the subject represented in the dwc:Media resource with respect to the acquisition device.",,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectOrientation,http://rs.tdwg.org/ac/terms/version/subjectOrientation-2023-09-05,"Specific orientation (= direction, view angle) of the subject represented in the media resource with respect to the acquisition device, denoted by a controlled value string.",recommended,false,true
agent-media,physicalSetting,,Physical Setting,"The setting of the content represented in a dwc:Media resource, such as images, sounds, and movies if the provider deems them relevant.",,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/physicalSetting,http://rs.tdwg.org/ac/terms/version/physicalSetting-2020-01-27,"The setting of the content represented in a dwc:Media resource, such as images, sounds, and movies if the provider deems them relevant. Constrained vocabulary of: `Natural` = Object in its natural setting of the object (e. g. living organisms in their natural environment); `Artificial` = Object in an artificial environment (e. g. living organisms in an artificial environment such as a zoo, garden, greenhouse, or laboratory); `Edited` = Human media editing of a natural setting or media acquisition with a separate media background such as a photographic backdrop.",recommended,false,true
bibliographic-resource,referenceID,pk,Reference ID,An identifier for a dcterms:BibliographicResource.,Recommended best practice is to use a globally unique identifier.,,string,default,true,true,,,dwc,,,,recommended,true,false
bibliographic-resource,parentReferenceID,fk,Parent Reference ID,An identifier for a dcterms:BibliographicResource that this dcterms:BibliographicResource is a part of.,Recommended best practice is to use a globally unique identifier.,,string,default,false,false,,,dwc,,,,recommended,true,true
bibliographic-resource,referenceType,,Reference Type,A category that best matches the nature of a dcterms:BibliographicResource.,Recommended best practice is to use a controlled vocabulary.,,string,default,,,,,dwc,,,,recommended,true,false
bibliographic-resource,bibliographicCitation,,Bibliographic Citation,A bibliographic reference for a dcterms:BibliographicResource.,"Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible. The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.",,string,default,,,,,dcterms,http://purl.org/dc/terms/bibliographicCitation,,A bibliographic reference for the resource.,recommended,false,true
bibliographic-resource,title,,Title,A name given to a resource.,"Typically, a dc:title will be a name by which the resource is formally known.",,string,default,,,,,dc,http://purl.org/dc/elements/1.1/title,,A name given to the resource.,recommended,false,true
bibliographic-resource,author,,Author,A name of a dcterms:Agent primarily responsible for creating a dcterms:BibliographicResource.,"Examples of a dcterms:creator include a person, an organization, or a service.",,string,default,,,,,dc,http://purl.org/dc/elements/1.1/creator,,An entity primarily responsible for making the resource.,recommended,false,true
bibliographic-resource,authorID,fk,Author ID,An identifier for a dcterms:Agent primarily responsible for making a dcterms:BibliographicResource.,"Examples of a dcterms:creator include a person, an organization, or a service.",,string,default,false,false,,,dcterms,http://purl.org/dc/terms/creator,,An entity primarily responsible for making the resource.,recommended,false,true
bibliographic-resource,editor,,Editor,"A name of a dcterms:Agent having managerial and sometimes policy-making responsibility for the editorial part of a publishing firm or of a newspaper, magazine, or other publication.",,,string,default,,,,,bibo,http://purl.org/ontology/bibo/editor,,"A person having managerial and sometimes policy-making responsibility for the editorial part of a publishing firm or of a newspaper, magazine, or other publication.",recommended,false,true
bibliographic-resource,editorID,fk,Editor ID,"An identifier for a dcterms:Agent having managerial and sometimes policy-making responsibility for the editorial part of a publishing firm or of a newspaper, magazine, or other publication.",,,string,default,false,false,,,bibo,http://purl.org/ontology/bibo/editor,,,recommended,false,true
bibliographic-resource,publisher,,Publisher,A name of a dcterms:Agent responsible for making a dcterms:BibliographicResource available.,"Examples of a dcterms:publisher include a person, an organization, or a service. Typically, the name of a dcterms:publisher should be used to indicate the entity.",,string,default,,,,,dc,http://purl.org/dc/elements/1.1/publisher,,An entity responsible for making the resource available.,recommended,false,true
bibliographic-resource,publisherID,fk,Publisher ID,An identifier for a dcterms:Agent responsible for making a Reference available.,"Examples of a dcterms:publisher include a person, an organization, or a service. ",,string,default,false,false,,,dcterms,http://purl.org/dc/terms/publisher,,An entity responsible for making the resource available.,recommended,false,true
bibliographic-resource,volume,,Volume,A volume number of a dcterms:BibliographicResource.,,,string,default,,,,,bibo,http://purl.org/ontology/bibo/volume,,,recommended,false,true
bibliographic-resource,issue,,Issue,An issue number of a dcterms:BibliographicResource.,,,string,default,,,,,bibo,http://purl.org/ontology/bibo/issue,,,recommended,false,true
bibliographic-resource,edition,,Edition,An edition of a dcterms:BibliographicResource.,,,string,default,,,,,bibo,http://purl.org/ontology/bibo/edition,,The name defining a special edition of a document.,recommended,false,true
bibliographic-resource,pages,,Pages,A range of pages within a dcterms:BibliographicResource.,,,string,default,,,,,bibo,http://purl.org/ontology/bibo/pages,,"A string of non-contiguous page spans that locate a Document within a Collection. Example: 23-25, 34, 54-56. For continuous page ranges, use the pageStart and pageEnd properties.",recommended,false,true
bibliographic-resource,version,,Version,A version number of a dcterms:BibliographicResource.,,,string,default,,,,,pav,http://purl.org/pav/version,,"The version number of a resource. This is a freetext string, typical values are ""1.5"" or ""21"". The URI identifying the previous version can be provided using prov:previousVersion.",recommended,false,true
bibliographic-resource,issued,,Issued,Date of formal issuance of a dcterms:BibliographicResource.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,,string,default,,,,,dcterms,http://purl.org/dc/terms/issued,,,recommended,false,true
bibliographic-resource,accessed,,Accessed,The resource is related to a source which was originally accessed or consulted on the given date as part of creating or authoring the resource. The source(s) should be specified using pav:sourceAccessedAt.,,,string,default,,,,,pav,http://purl.org/pav/sourceAccessedOn,,The resource is related to a source which was originally accessed or consulted on the given date as part of creating or authoring the resource. The source(s) should be specified using pav:sourceAccessedAt.,recommended,false,true
bibliographic-resource,peerReviewStatus,,Peer Review Status,An indication of whether a dcterms:BibliographicResource was peer reviewed.,,,boolean,default,,,,,bibo,http://purl.org/ontology/bibo/status,,,recommended,false,true
bibliographic-resource,referenceRemarks,,Reference Remarks,Comments or notes about a dcterms:BibliographicResource.,,,string,default,,,,,dwc,,,,recommended,true,false
chronometric-age,chronometricAgeID,pk,Chronometric Age ID,An identifier for a chrono:ChronometricAge.,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,string,default,true,true,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,http://rs.tdwg.org/chrono/terms/version/chronometricAgeID-2025-06-12,An identifier for the set of information associated with a chrono:ChronometricAge.,recommended,false,false
chronometric-age,eventID,fk,Event ID,An identifier for a dwc:Event.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,http://rs.tdwg.org/dwc/terms/eventID,http://rs.tdwg.org/dwc/terms/version/eventID-2023-06-28,An identifier for the set of information associated with a dwc:Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.,recommended,false,true
chronometric-age,verbatimChronometricAge,,Verbatim Chronometric Age,"A verbatim age for a dwc:Event, whether reported by a dating assay, associated references, or legacy information.","For example, this could be the radiocarbon age as given in an AMS dating report. This could also be simply what is reported as the age of a specimen in legacy collections data.",,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/verbatimChronometricAge,http://rs.tdwg.org/chrono/terms/version/verbatimChronometricAge-2020-09-14,"The verbatim age for a specimen, whether reported by a dating assay, associated references, or legacy information.",recommended,false,false
chronometric-age,chronometricAgeProtocol,,Chronometric Age Protocol,A description of or reference to a dwc:Protocol used to determine a chrono:ChronometricAge.,,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeProtocol,http://rs.tdwg.org/chrono/terms/version/chronometricAgeProtocol-2025-06-12,A description of or reference to the methods used to determine the chrono:ChronometricAge.,recommended,false,false
chronometric-age,chronometricAgeProtocolID,fk,Chronometric Age Protocol ID,An identifier for a dwc:Protocol used to determine a chrono:ChronometricAge.,Recommended best practice is to use a globally unique identifier.,,string,default,false,false,,,dwc,,,,recommended,true,true
chronometric-age,uncalibratedChronometricAge,,Uncalibrated Chronometric Age,An output of a dating assay before it is calibrated into an age using a specific conversion protocol.,,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/uncalibratedChronometricAge,http://rs.tdwg.org/chrono/terms/version/uncalibratedChronometricAge-2020-09-14,The output of a dating assay before it is calibrated into an age using a specific conversion protocol.,recommended,false,false
chronometric-age,chronometricAgeConversionProtocol,,Chronometric Age Conversion Protocol,"A description of or reference to a dwc:Protocol used to convert a chrono:uncalibratedChronometricAge into a chronometric age in years, as captured in the chrono:earliestChronometricAge, chrono:earliestChronometricAgeReferenceSystem, chrono:latestChronometricAge, and chrono:latestChronometricAgeReferenceSystem fields.","For example, calibration of conventional radiocarbon age or the currently accepted age range of a cultural or geological period.",,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeConversionProtocol,http://rs.tdwg.org/chrono/terms/version/chronometricAgeConversionProtocol-2025-06-12,"The method used for converting the chrono:uncalibratedChronometricAge into a chronometric age in years, as captured in the chrono:earliestChronometricAge, chrono:earliestChronometricAgeReferenceSystem, chrono:latestChronometricAge, and chrono:latestChronometricAgeReferenceSystem fields.",recommended,false,false
chronometric-age,chronometricAgeConversionProtocolID,fk,Chronometric Age Conversion Protocol ID,"An identifier for a dwc:Protocol used to convert a chrono:uncalibratedChronometricAge into a chronometric age in years, as captured in the chrono:earliestChronometricAge, chrono:earliestChronometricAgeReferenceSystem, chrono:latestChronometricAge, and chrono:latestChronometricAgeReferenceSystem fields.",Recommended best practice is to use a globally unique identifier.,,string,default,false,false,,,dwc,,,,recommended,true,true
chronometric-age,earliestChronometricAge,,Earliest Chronometric Age,A maximum/earliest/oldest possible age of a dwc:MaterialEntity as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated chrono:earliestChronometricAgeReferenceSystem.",,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/earliestChronometricAge,http://rs.tdwg.org/chrono/terms/version/earliestChronometricAge-2025-06-12,The maximum/earliest/oldest possible age of a specimen as determined by a dating method.,recommended,false,false
chronometric-age,earliestChronometricAgeReferenceSystem,,Earliest Chronometric Age Reference System,A reference system associated with a chrono:earliestChronometricAge.,Recommended best practice is to use a controlled vocabulary.,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/earliestChronometricAgeReferenceSystem,http://rs.tdwg.org/chrono/terms/version/earliestChronometricAgeReferenceSystem-2025-06-12,The reference system associated with the chrono:earliestChronometricAge.,recommended,false,false
chronometric-age,latestChronometricAge,,Latest Chronometric Age,A minimum/latest/youngest possible age of a dwc:MaterialEntity as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated latestChronometricAgeReferenceSystem.",,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/latestChronometricAge,http://rs.tdwg.org/chrono/terms/version/latestChronometricAge-2025-06-12,The minimum/latest/youngest possible age of a specimen as determined by a dating method.,recommended,false,false
chronometric-age,latestChronometricAgeReferenceSystem,,Latest Chronometric Age Reference System,A reference system associated with a chrono:latestChronometricAge.,Recommended best practice is to use a controlled vocabulary.,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/latestChronometricAgeReferenceSystem,http://rs.tdwg.org/chrono/terms/version/latestChronometricAgeReferenceSystem-2025-06-12,The reference system associated with the chrono:latestChronometricAge.,recommended,false,false
chronometric-age,chronometricAgeUncertaintyInYears,,Chronometric Age Uncertainty In Years,A temporal uncertainty of a chrono:earliestChronometricAge and chrono:latestChronometricAge in years.,The expected unit for this field is years. The value in this field is number of years before and after the values given in the earliest and latest chronometric age fields within which the actual values are estimated to be.,,integer,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears,http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyInYears-2025-06-12,The temporal uncertainty of the chrono:earliestChronometricAge and chrono:latestChronometricAge in years.,recommended,false,false
chronometric-age,chronometricAgeUncertaintyMethod,,Chronometric Age Uncertainty Method,A method used to generate a value of chrono:ChronometricAgeUncertaintyInYears.,,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyMethod,http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyMethod-2025-06-12,The method used to generate the value of chrono:chronometricAgeUncertaintyInYears.,recommended,false,false
chronometric-age,materialDated,,Material Dated,"A description of a dwc:MaterialEntity on which a chrono:ChronometricAgeProtocol was actually performed, if known.",Recommended best practice is to use a globally unique identifier.,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/materialDated,http://rs.tdwg.org/chrono/terms/version/materialDated-2025-06-12,"A description of the material on which the chrono:chronometricAgeProtocol was actually performed, if known.",recommended,false,false
chronometric-age,materialDatedID,fk,Material Dated ID,"An identifier for a dwc:MaterialEntity on which a chrono:ChronometricAgeProtocol was performed, if applicable.",Recommended best practice is to use a globally unique identifier.,,string,default,false,false,,,chrono,http://rs.tdwg.org/chrono/terms/materialDatedID,http://rs.tdwg.org/chrono/terms/version/materialDatedID-2025-06-12,"An identifier for the dwc:MaterialEntity on which the chrono:chronometricAgeProtocol was performed, if applicable.",recommended,false,false
chronometric-age,materialDatedRelationship,,Material Dated Relationship,"A relationship of a chrono:materialDated to a dwc:MaterialEntity, from which a chrono:ChronometricAge of the related dwc:MaterialEntity and any related dwc:Occurrence is inferred.",Recommended best practice is to use a controlled vocabulary.,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/materialDatedRelationship,http://rs.tdwg.org/chrono/terms/version/materialDatedRelationship-2025-06-12,"The relationship of the chrono:materialDated to the subject of the chrono:ChronometricAge record, from which the chrono:ChronometricAge of the subject is inferred.",recommended,false,false
chronometric-age,chronometricAgeDeterminedBy,,Chronometric Age Determined By,A list (concatenated and separated) of names of dcterms:Agents responsible for determining the chrono:ChronometricAge.,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedBy,http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedBy-2025-06-12,"A list (concatenated and separated) of names of people, groups, or organizations who determined the chrono:ChronometricAge.",recommended,false,false
chronometric-age,chronometricAgeDeterminedByID,fk,Chronometric Age Determined By ID,An identifier for a dcterms:Agent responsible for determining a chrono:ChronometricAge.,"Recommended best practice is to provide a single identifier that disambiguates the details of the acting dcterms:Agent. If a list is used, the order of the agents on the list should not be assumed to convey any semantics. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).",,string,default,false,false,,,dwc,,,,recommended,true,true
chronometric-age,chronometricAgeDeterminedDate,,Chronometric Age Determined Date,A date on which a chrono:ChronometricAge was determined.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedDate,http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedDate-2025-06-12,The date on which the chrono:ChronometricAge was determined.,recommended,false,false
chronometric-age,chronometricAgeReferences,,Chronometric Age References,A list (concatenated and separated) of dcterms:BibliographicResources associated with a chrono:ChronometricAge.,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeReferences,http://rs.tdwg.org/chrono/terms/version/chronometricAgeReferences-2025-06-12,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the chrono:ChronometricAge.",recommended,false,false
chronometric-age,chronometricAgeRemarks,,Chronometric Age Remarks,Comments or notes about a chrono:ChronometricAge.,,,string,default,,,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeRemarks,http://rs.tdwg.org/chrono/terms/version/chronometricAgeRemarks-2025-06-12,Notes or comments about the chrono:ChronometricAge.,recommended,false,false
chronometric-age-agent-role,agentID,fk,Agent ID,An identifier for a dcterms:Agent.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,,,,recommended,true,true
chronometric-age-agent-role,chronometricAgeID,fk,Chronometric Age ID,An identifier for a chrono:ChronometricAge.,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,string,default,false,true,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,http://rs.tdwg.org/chrono/terms/version/chronometricAgeID-2025-06-12,An identifier for the set of information associated with a chrono:ChronometricAge.,recommended,false,true
chronometric-age-agent-role,agentRole,,Agent Role,A category that best matches the nature of a role of a dcterms:Agent.,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource a dcterms:AgentRole is related to.,,string,default,,,,,dwc,,,,recommended,true,true
chronometric-age-agent-role,agentRoleIRI,,Agent Role IRI,An IRI of the controlled vocabulary value for a role of a dcterms:Agent.,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,string,default,,,,,dwciri,,,,recommended,true,true
chronometric-age-agent-role,agentRoleSource,,Agent Role Source,A reference to a controlled vocabulary in which the definition of a value in dwc:agentRole is given.,,,string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,false,true
chronometric-age-agent-role,agentRoleOrder,,Agent Role Order,"A numerical position of a dcterms:AgentRole in a set of dcterms:AgentRoles that have the same combination of dwc:agentRole, dwc:agentRoleIRI, dwc:agentRoleSource and related target.","One could use dwc:agentRoleOrder to create an ordered list of collectors (dwc:agentRole = 'collector') for a dwc:MaterialEntity, for example. The first would have dwc:agentRoleOrder=1, the second would have dwc:agentRoleOrder=2.",,integer,default,,,1,,dwc,,,,recommended,true,true
chronometric-age-agent-role,agentRoleDate,,Agent Role Date,An interval during which a dcterms:AgentRole was in effect.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate,http://rs.tdwg.org/dwc/terms/version/relationshipEstablishedDate-2025-06-12,The date-time on which the relationship between the two resources was established.,recommended,false,true
chronometric-age-assertion,chronometricAgeID,fk,Chronometric Age ID,An identifier for a chrono:ChronometricAge.,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,string,default,false,true,,,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,http://rs.tdwg.org/chrono/terms/version/chronometricAgeID-2025-06-12,An identifier for the set of information associated with a chrono:ChronometricAge.,recommended,false,true
chronometric-age-assertion,assertionID,pk,Assertion ID,An identifier for a dwc:Assertion.,Recommended best practice is to use a globally unique identifier.,,string,default,true,true,,,dwc,,,,recommended,true,false
chronometric-age-assertion,verbatimAssertionType,,Verbatim Assertion Type,A string representing the type of dwc:Assertion as it appeared in the original record.,"This term is meant to allow the capture of an unaltered original name for a dwc:assertionType. This term is meant to be used in addition to dwc:assertionType, not instead of it.",`water_temp`; `Fish biomass`; `sampling net mesh size`,string,default,,,,,dwc,,,,recommended,true,false
chronometric-age-assertion,assertionType,,Assertion Type,A category that best matches the nature of a dwc:Assertion.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`tail length`; `temperature`; `trap line length`; `survey area`; `trap type`,string,default,,,,,dwc,,,,recommended,true,false
chronometric-age-assertion,assertionTypeIRI,,Assertion Type (IRI),An IRI of a controlled vocabulary value for a type of dwc:Assertion.,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,string,default,,,,,dwciri,,,,recommended,true,false
chronometric-age-assertion,assertionTypeSource,,Assertion Type Source,A reference to the controlled vocabulary in which the definition of a value in dwc:assertionType is given.,,,string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,false,true
chronometric-age-assertion,assertionMadeDate,,Assertion Made Date,A date on which a dwc:Assertion was created.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007),string,default,,,,,dwc,,,,recommended,true,false
